timestamp,src_ip,dst_ip,protocol,size,risk,status
1773415739.8776376,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415739.8877895,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415739.9000704,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415739.9116886,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415739.9240024,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415739.9382443,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415739.951236,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415739.9724834,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415739.98402,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415740.1088011,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415740.1226778,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415740.140108,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415740.1578953,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415740.1734836,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415740.1881688,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415740.2031577,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415740.2167473,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415740.7136836,140.82.113.21,192.168.1.34,6,645,MEDIUM,SUSPICIOUS
1773415740.7306094,140.82.113.21,192.168.1.34,6,78,MEDIUM,SUSPICIOUS
1773415740.7441883,140.82.113.21,192.168.1.34,6,54,MEDIUM,SUSPICIOUS
1773415742.5970197,8.8.8.8,192.168.1.34,17,132,HIGH,DOS ATTACK
1773415742.636801,104.18.32.47,192.168.1.34,17,1242,HIGH,DOS ATTACK
1773415742.660854,104.18.32.47,192.168.1.34,17,1242,HIGH,DOS ATTACK
